start_s,end_s,phoneme,sentence,mora,start_s_source,end_s_source,start_s_concat,end_s_concat,begin_frame,end_frame
8.897489,8.967489,e,N01_03,エ,0.4025,0.4725,8.896763,8.966763,39,45
8.967489,9.027489,n,N01_03,ノ,0.4725,0.5325,8.966763,9.026763,46,51
9.027489,9.057489,o,N01_03,ノ,0.5325,0.5625,9.026763,9.056763,52,54
9.057489,9.177489,f,N01_03,フ,0.5625,0.6825,9.056763,9.176763,55,66
9.177489,9.217489,u,N01_03,フ,0.6825,0.7225,9.176763,9.216763,67,70
9.217489,9.267489,a,N01_03,ア,0.7225,0.7725,9.216763,9.266763,71,75
9.267489,9.377489,N,N01_03,ン,0.7725,0.8825,9.266763,9.376763,76,86
9.377489,9.457489,t,N01_03,ト,0.8825,0.9625,9.376763,9.456763,87,94
9.457489,9.587489,o,N01_03,ト,0.9625,1.0925,9.456763,9.586763,95,107
9.587489,10.057489,sp,N01_03,",",1.0925,1.5625,9.586763,10.056763,108,154
10.057489,10.087489,w,N01_03,ワ,1.5625,1.5925,10.056763,10.086763,155,157
10.087489,10.127489,a,N01_03,ワ,1.5925,1.6325,10.086763,10.126763,158,161
10.127489,10.177489,t,N01_03,タ,1.6325,1.6825,10.126763,10.176763,162,166
10.177489,10.237489,a,N01_03,タ,1.6825,1.7425,10.176763,10.236763,167,172
10.237489,10.337489,sh,N01_03,シ,1.7425,1.8425,10.236763,10.336763,173,182
10.337489,10.367489,i,N01_03,シ,1.8425,1.8725,10.336763,10.366763,183,185
10.367489,10.407489,t,N01_03,タ,1.8725,1.9125,10.366763,10.406763,186,189
10.407489,10.437489,a,N01_03,タ,1.9125,1.9425,10.406763,10.436763,190,192
10.437489,10.547489,ch,N01_03,チ,1.9425,2.0525,10.436763,10.546763,193,203
10.547489,10.577489,i,N01_03,チ,2.0525,2.0825,10.546763,10.576763,204,206
10.577489,10.617489,n,N01_03,ノ,2.0825,2.1225,10.576763,10.616763,207,210
10.617489,10.687489,o,N01_03,ノ,2.1225,2.1925,10.616763,10.686763,211,217
10.687489,10.737489,k,N01_03,ク,2.1925,2.2425,10.686763,10.736763,218,222
10.737489,10.777489,u,N01_03,ク,2.2425,2.2825,10.736763,10.776763,223,226
10.777489,10.837489,r,N01_03,ラ,2.2825,2.3425,10.776763,10.836763,227,232
10.837489,10.867489,a,N01_03,ラ,2.3425,2.3725,10.836763,10.866763,233,235
10.867489,10.977489,sh,N01_03,シ,2.3725,2.4825,10.866763,10.976763,236,246
10.977489,11.007489,i,N01_03,シ,2.4825,2.5125,10.976763,11.006763,247,249
11.007489,11.047489,o,N01_03,オ,2.5125,2.5525,11.006763,11.046763,250,253
11.047489,11.147489,s,N01_03,サ,2.5525,2.6525,11.046763,11.146763,254,263
11.147489,11.177489,a,N01_03,サ,2.6525,2.6825,11.146763,11.176763,264,266
11.177489,11.267489,s,N01_03,サ,2.6825,2.7725,11.176763,11.266763,267,275
11.267489,11.297489,a,N01_03,サ,2.7725,2.8025,11.266763,11.296763,276,278
11.297489,11.367489,e,N01_03,エ,2.8025,2.8725,11.296763,11.366763,279,285
11.367489,11.407489,r,N01_03,ル,2.8725,2.9125,11.366763,11.406763,286,289
11.407489,11.437489,u,N01_03,ル,2.9125,2.9425,11.406763,11.436763,290,292
11.437489,11.537489,s,N01_03,セ,2.9425,3.0425,11.436763,11.536763,293,302
11.537489,11.577489,e,N01_03,セ,3.0425,3.0825,11.536763,11.576763,303,306
11.577489,11.627489,e,N01_03,エ,3.0825,3.1325,11.576763,11.626763,307,311
11.627489,11.717489,s,N01_03,サ,3.1325,3.2225,11.626763,11.716763,312,320
11.717489,11.767489,a,N01_03,サ,3.2225,3.2725,11.716763,11.766763,321,325
11.767489,11.847489,k,N01_03,ク,3.2725,3.3525,11.766763,11.846763,326,333
11.847489,11.877489,u,N01_03,ク,3.3525,3.3825,11.846763,11.876763,334,336
11.877489,11.947489,w,N01_03,ワ,3.3825,3.4525,11.876763,11.946763,337,343
11.947489,12.127489,a,N01_03,ワ,3.4525,3.6325,11.946763,12.126763,344,361
12.127489,12.487489,sp,N01_03,",",3.6325,3.9925,12.126763,12.486763,362,397
12.487489,12.547489,d,N01_03,ド,3.9925,4.0525,12.486763,12.546763,398,403
12.547489,12.577489,o,N01_03,ド,4.0525,4.0825,12.546763,12.576763,404,406
12.577489,12.637489,o,N01_03,オ,4.0825,4.1425,12.576763,12.636763,407,412
12.637489,12.727489,ts,N01_03,ツ,4.1425,4.2325,12.636763,12.726763,413,421
12.727489,12.757489,u,N01_03,ツ,4.2325,4.2625,12.726763,12.756763,422,424
12.757489,12.797489,n,N01_03,ナ,4.2625,4.3025,12.756763,12.796763,425,428
12.797489,12.867489,a,N01_03,ナ,4.3025,4.3725,12.796763,12.866763,429,435
12.867489,12.917489,g,N01_03,ガ,4.3725,4.4225,12.866763,12.916763,436,440
12.917489,12.957489,a,N01_03,ガ,4.4225,4.4625,12.916763,12.956763,441,444
12.957489,13.007489,r,N01_03,ル,4.4625,4.5125,12.956763,13.006763,445,449
13.007489,13.037489,u,N01_03,ル,4.5125,4.5425,13.006763,13.036763,450,452
13.037489,13.097489,n,N01_03,ノ,4.5425,4.6025,13.036763,13.096763,453,458
13.097489,13.137489,o,N01_03,ノ,4.6025,4.6425,13.096763,13.136763,459,462
13.137489,13.197489,d,N01_03,デ,4.6425,4.7025,13.136763,13.196763,463,468
13.197489,13.227489,e,N01_03,デ,4.7025,4.7325,13.196763,13.226763,469,471
13.227489,13.347489,sh,N01_03,ショ,4.7325,4.8525,13.226763,13.346763,472,483
13.347489,13.377489,o,N01_03,ショ,4.8525,4.8825,13.346763,13.376763,484,486
