start_s,end_s,phoneme,sentence,mora,start_s_source,end_s_source,start_s_concat,end_s_concat,begin_frame,end_frame
10.547489,10.647489,ch,N01_03,チ,2.0525,2.1525,10.546763,10.646763,204,213
10.647489,10.677489,i,N01_03,チ,2.1525,2.1825,10.646763,10.676763,214,216
10.677489,10.727489,n,N01_03,ノ,2.1825,2.2325,10.676763,10.726763,217,221
10.727489,10.777489,o,N01_03,ノ,2.2325,2.2825,10.726763,10.776763,222,226
10.777489,10.837489,k,N01_03,ク,2.2825,2.3425,10.776763,10.836763,227,232
10.837489,10.877489,u,N01_03,ク,2.3425,2.3825,10.836763,10.876763,233,236
10.877489,10.947489,r,N01_03,ラ,2.3825,2.4525,10.876763,10.946763,237,243
10.947489,10.977489,a,N01_03,ラ,2.4525,2.4825,10.946763,10.976763,244,246
10.977489,11.077489,sh,N01_03,シ,2.4825,2.5825,10.976763,11.076763,247,256
11.077489,11.107489,i,N01_03,シ,2.5825,2.6125,11.076763,11.106763,257,259
11.107489,11.147489,o,N01_03,オ,2.6125,2.6525,11.106763,11.146763,260,263
11.147489,11.247489,s,N01_03,サ,2.6525,2.7525,11.146763,11.246763,264,273
11.247489,11.277489,a,N01_03,サ,2.7525,2.7825,11.246763,11.276763,274,276
11.277489,11.377489,s,N01_03,サ,2.7825,2.8825,11.276763,11.376763,277,286
11.377489,11.417489,a,N01_03,サ,2.8825,2.9225,11.376763,11.416763,287,290
11.417489,11.467489,e,N01_03,エ,2.9225,2.9725,11.416763,11.466763,291,295
11.467489,11.507489,r,N01_03,ル,2.9725,3.0125,11.466763,11.506763,296,299
11.507489,11.537489,u,N01_03,ル,3.0125,3.0425,11.506763,11.536763,300,302
11.537489,11.647489,s,N01_03,セ,3.0425,3.1525,11.536763,11.646763,303,313
11.647489,11.677489,e,N01_03,セ,3.1525,3.1825,11.646763,11.676763,314,316
11.677489,11.717489,e,N01_03,エ,3.1825,3.2225,11.676763,11.716763,317,320
11.717489,11.817489,s,N01_03,サ,3.2225,3.3225,11.716763,11.816763,321,330
11.817489,11.877489,a,N01_03,サ,3.3225,3.3825,11.816763,11.876763,331,336
11.877489,11.937489,k,N01_03,ク,3.3825,3.4425,11.876763,11.936763,337,342
11.937489,11.987489,u,N01_03,ク,3.4425,3.4925,11.936763,11.986763,343,347
11.987489,12.057489,w,N01_03,ワ,3.4925,3.5625,11.986763,12.056763,348,354
